1,4.5,0,1,1,0.70,1,0,300,2,1,58,19
0,5,0,1,0,0.00,0,0,70,4.2,2,61,19
1,3,1,0,1,0.09,1,1,300,7,1,57,12
1,4,0,0,1,0.30,-1,30,80,5.5,4,56,15
0,5,0,0,1,0.05,0,0,60,2.5,2,61,17
0,5,0,1,1,0.14,-1,0,45,2,1,60,19
1,3,0,1,1,1.00,1,10,120,2,3,57,16
0,4.8,0,1,0,0.00,-1,0,130,2,1,60,16
0,3.5,0,0,1,1.00,0,0,250,7,4,50,14
1,4.2,0,0,1,0.14,0,0.5,800,3,3,54,18
1,4,1,0,1,0.00,0,0,45,2.5,2,55,12
1,5,0,1,1,0.86,0,0,100,2,2,59,18
1,5,0,1,1,0.09,0,0,208,2.5,2,57,16
0,4.3,0,1,1,0.05,-1,0,200,2,2,54,19
0,5,0,1,0,0.05,-1,0,50,2,1,57,15
1,5,0,0,1,0.45,0,0,25,5.5,2,59,19
1,5,0,0,0,0.00,0,0,65,5,1,61,18
1,4,0,1,1,0.00,1,0,85,2,4,61,20
0,5,0,1,1,0.05,0,0,60,2,2,55,19
0,4.5,0,1,1,0.00,-1,0,46,2,3,52,19
1,4.3,0,1,1,0.00,0,0,30,3.5,4,58,20
1,4.3,0,0,0,0.05,0,0,60,4.5,2,58,20
1,4.5,0,0,1,0.09,0,2,181,7.5,2,57,19
1,4,0,1,1,0.27,1,0,80,2,2,56,16
1,3.3,0,1,0,0.21,1,2,220,2,4,57,19
1,4.7,0,1,1,0.09,-1,0,140,2,3,59,12
0,4.3,0,1,0,0.05,0,0,99,2,4,55,16
1,3.8,0,0,1,0.09,0,0,100,4.8,1,58,15
